country,year,sex,age,suicide_no,population,suicides_per_100k,HDI_for_year,gdp_for_year,gdp_per_capita,generation
Argentina,1996,male,35-54 years,524,3847300,13.62,0.738,2.7215E+11,8563,Boomers
Argentina,1996,male,25-34 years,226,2442900,9.25,0.738,2.7215E+11,8563,Generation X
Argentina,1996,male,15-24 years,280,3185600,8.79,0.738,2.7215E+11,8563,Generation X
Argentina,1996,female,75+ years,59,766100,7.7,0.738,2.7215E+11,8563,G.I. Generation
Argentina,1996,female,55-74 years,131,2653800,4.94,0.738,2.7215E+11,8563,Silent
Argentina,1996,female,35-54 years,176,4014100,4.38,0.738,2.7215E+11,8563,Boomers
Argentina,1996,female,15-24 years,105,3123600,3.36,0.738,2.7215E+11,8563,Generation X
Argentina,1996,female,25-34 years,52,2428400,2.14,0.738,2.7215E+11,8563,Generation X
Argentina,1996,male,5-14 years,14,3370400,0.42,0.738,2.7215E+11,8563,Millenials
Argentina,1996,female,5-14 years,9,3266800,0.28,0.738,2.7215E+11,8563,Millenials
Argentina,1997,male,75+ years,195,490152,39.78,0.746,2.92859E+11,9057,G.I. Generation
Argentina,1997,male,55-74 years,457,2252148,20.29,0.746,2.92859E+11,9057,Silent
Argentina,1997,male,35-54 years,501,3934581,12.73,0.746,2.92859E+11,9057,Boomers
Argentina,1997,male,25-34 years,213,2460112,8.66,0.746,2.92859E+11,9057,Generation X
Argentina,1997,male,15-24 years,260,3198193,8.13,0.746,2.92859E+11,9057,Generation X
Argentina,1997,female,75+ years,47,854095,5.5,0.746,2.92859E+11,9057,G.I. Generation
Argentina,1997,female,55-74 years,131,2668528,4.91,0.746,2.92859E+11,9057,Silent
Argentina,1997,female,35-54 years,165,4083427,4.04,0.746,2.92859E+11,9057,Boomers
Argentina,1997,female,15-24 years,113,3161000,3.57,0.746,2.92859E+11,9057,Generation X
Argentina,1997,female,25-34 years,72,2474330,2.91,0.746,2.92859E+11,9057,Generation X
Argentina,1997,male,5-14 years,19,3429860,0.55,0.746,2.92859E+11,9057,Millenials
Argentina,1997,female,5-14 years,11,3327355,0.33,0.746,2.92859E+11,9057,Millenials
Argentina,1998,male,75+ years,201,504164,39.87,0.752,2.98948E+11,9126,G.I. Generation
Argentina,1998,male,55-74 years,518,2274972,22.77,0.752,2.98948E+11,9126,Silent
Argentina,1998,male,35-54 years,508,3990829,12.73,0.752,2.98948E+11,9126,Boomers
Argentina,1998,male,15-24 years,327,3243944,10.08,0.752,2.98948E+11,9126,Generation X
Argentina,1998,male,25-34 years,251,2497189,10.05,0.752,2.98948E+11,9126,Generation X
Argentina,1998,female,75+ years,53,883724,6,0.752,2.98948E+11,9126,G.I. Generation
Argentina,1998,female,55-74 years,140,2696429,5.19,0.752,2.98948E+11,9126,Silent
Argentina,1998,female,15-24 years,114,3200362,3.56,0.752,2.98948E+11,9126,Generation X
Argentina,1998,female,35-54 years,147,4143203,3.55,0.752,2.98948E+11,9126,Boomers
Argentina,1998,female,25-34 years,52,2512005,2.07,0.752,2.98948E+11,9126,Generation X
Argentina,1998,female,5-14 years,20,3353473,0.6,0.752,2.98948E+11,9126,Millenials
Argentina,1998,male,5-14 years,16,3456965,0.46,0.752,2.98948E+11,9126,Millenials
Argentina,1999,male,75+ years,204,515800,39.55,0.763,2.83523E+11,8546,G.I. Generation
Argentina,1999,male,55-74 years,540,2301840,23.46,0.763,2.83523E+11,8546,Silent
Argentina,1999,male,35-54 years,545,4045105,13.47,0.763,2.83523E+11,8546,Boomers
Argentina,1999,male,15-24 years,355,3279728,10.82,0.763,2.83523E+11,8546,Generation X
Argentina,1999,male,25-34 years,265,2543861,10.42,0.763,2.83523E+11,8546,Generation X
Argentina,1999,female,55-74 years,137,2727054,5.02,0.763,2.83523E+11,8546,Silent
Argentina,1999,female,75+ years,44,912898,4.82,0.763,2.83523E+11,8546,G.I. Generation
Argentina,1999,female,35-54 years,141,4200203,3.36,0.763,2.83523E+11,8546,Boomers
Argentina,1999,female,15-24 years,101,3229424,3.13,0.763,2.83523E+11,8546,Generation X
Argentina,1999,female,25-34 years,50,2559176,1.95,0.763,2.83523E+11,8546,Generation X
Argentina,1999,male,5-14 years,21,3482230,0.6,0.763,2.83523E+11,8546,Millenials
Argentina,1999,female,5-14 years,20,3377543,0.59,0.763,2.83523E+11,8546,Millenials
Argentina,2000,male,75+ years,232,525161,44.18,0.77,2.84204E+11,8462,G.I. Generation
Argentina,2000,male,55-74 years,602,2333377,25.8,0.77,2.84204E+11,8462,Silent
Argentina,2000,male,35-54 years,578,4096814,14.11,0.77,2.84204E+11,8462,Boomers
Argentina,2000,male,15-24 years,463,3306109,14,0.77,2.84204E+11,8462,Generation X
Argentina,2000,male,25-34 years,331,2602314,12.72,0.77,2.84204E+11,8462,Generation X
Argentina,2000,female,55-74 years,133,2760512,4.82,0.77,2.84204E+11,8462,Silent
Argentina,2000,female,75+ years,43,941957,4.56,0.77,2.84204E+11,8462,G.I. Generation
Argentina,2000,female,35-54 years,174,4253771,4.09,0.77,2.84204E+11,8462,Boomers
Argentina,2000,female,15-24 years,116,3249247,3.57,0.77,2.84204E+11,8462,Generation X
Argentina,2000,female,25-34 years,63,2617723,2.41,0.77,2.84204E+11,8462,Generation X
Argentina,2000,female,5-14 years,21,3396135,0.62,0.77,2.84204E+11,8462,Millenials
Argentina,2000,male,5-14 years,18,3502413,0.51,0.77,2.84204E+11,8462,Millenials
Argentina,2001,male,75+ years,250,547473,45.66,0.775,2.68697E+11,7900,Silent
Argentina,2001,male,55-74 years,659,2358654,27.94,0.775,2.68697E+11,7900,Silent
Argentina,2001,male,15-24 years,518,3325440,15.58,0.775,2.68697E+11,7900,Millenials
Argentina,2001,male,35-54 years,625,4145861,15.08,0.775,2.68697E+11,7900,Boomers
Argentina,2001,male,25-34 years,375,2675285,14.02,0.775,2.68697E+11,7900,Generation X
Argentina,2001,female,75+ years,57,978346,5.83,0.775,2.68697E+11,7900,Silent
Argentina,2001,female,15-24 years,166,3262682,5.09,0.775,2.68697E+11,7900,Millenials
Argentina,2001,female,55-74 years,137,2788628,4.91,0.775,2.68697E+11,7900,Silent
Argentina,2001,female,35-54 years,210,4306817,4.88,0.775,2.68697E+11,7900,Boomers
Argentina,2001,female,25-34 years,82,2690206,3.05,0.775,2.68697E+11,7900,Generation X
Argentina,2001,male,5-14 years,29,3519935,0.82,0.775,2.68697E+11,7900,Millenials
Argentina,2001,female,5-14 years,24,3411619,0.7,0.775,2.68697E+11,7900,Millenials
Argentina,2002,male,75+ years,234,566447,41.31,0.77,97724004252,2840,Silent
Argentina,2002,male,55-74 years,615,2387478,25.76,0.77,97724004252,2840,Silent
Argentina,2002,male,15-24 years,542,3331708,16.27,0.77,97724004252,2840,Millenials
Argentina,2002,male,25-34 years,412,2758283,14.94,0.77,97724004252,2840,Generation X
Argentina,2002,male,35-54 years,619,4191889,14.77,0.77,97724004252,2840,Boomers
Argentina,2002,female,55-74 years,179,2819507,6.35,0.77,97724004252,2840,Silent
Argentina,2002,female,75+ years,58,1012399,5.73,0.77,97724004252,2840,Silent
Argentina,2002,female,15-24 years,158,3263542,4.84,0.77,97724004252,2840,Millenials
Argentina,2002,female,35-54 years,194,4355651,4.45,0.77,97724004252,2840,Boomers
Argentina,2002,female,25-34 years,91,2772560,3.28,0.77,97724004252,2840,Generation X
Argentina,2002,male,5-14 years,37,3529201,1.05,0.77,97724004252,2840,Millenials
Argentina,2002,female,5-14 years,23,3418842,0.67,0.77,97724004252,2840,Millenials
Argentina,2003,male,75+ years,272,581842,46.75,0.775,1.27587E+11,3668,Silent
Argentina,2003,male,55-74 years,577,2420864,23.83,0.775,1.27587E+11,3668,Silent
Argentina,2003,male,15-24 years,638,3331226,19.15,0.775,1.27587E+11,3668,Millenials
Argentina,2003,male,25-34 years,456,2845955,16.02,0.775,1.27587E+11,3668,Generation X
Argentina,2003,male,35-54 years,625,4237124,14.75,0.775,1.27587E+11,3668,Boomers
Argentina,2003,female,75+ years,68,1044188,6.51,0.775,1.27587E+11,3668,Silent
Argentina,2003,female,15-24 years,179,3258029,5.49,0.775,1.27587E+11,3668,Millenials
Argentina,2003,female,55-74 years,147,2854473,5.15,0.775,1.27587E+11,3668,Silent
Argentina,2003,female,35-54 years,196,4402438,4.45,0.775,1.27587E+11,3668,Boomers
Argentina,2003,female,25-34 years,69,2859003,2.41,0.775,1.27587E+11,3668,Generation X
Argentina,2003,male,5-14 years,37,3531507,1.05,0.775,1.27587E+11,3668,Millenials
Argentina,2003,female,5-14 years,25,3419258,0.73,0.775,1.27587E+11,3668,Millenials
Argentina,2004,male,75+ years,227,593409,38.25,0.775,1.64658E+11,4683,Silent
Argentina,2004,male,55-74 years,500,2459960,20.33,0.775,1.64658E+11,4683,Silent
Argentina,2004,male,15-24 years,653,3333328,19.59,0.775,1.64658E+11,4683,Millenials
Argentina,2004,male,25-34 years,445,2930079,15.19,0.775,1.64658E+11,4683,Generation X
Argentina,2004,male,35-54 years,599,4284709,13.98,0.775,1.64658E+11,4683,Boomers
Argentina,2004,female,15-24 years,159,3255244,4.88,0.775,1.64658E+11,4683,Millenials
Argentina,2004,female,55-74 years,136,2895423,4.7,0.775,1.64658E+11,4683,Silent
Argentina,2004,female,75+ years,50,1073648,4.66,0.775,1.64658E+11,4683,Silent
Argentina,2004,female,35-54 years,185,4450210,4.16,0.775,1.64658E+11,4683,Boomers
Argentina,2004,female,25-34 years,99,2940630,3.37,0.775,1.64658E+11,4683,Generation X
Argentina,2004,male,5-14 years,43,3530061,1.22,0.775,1.64658E+11,4683,Millenials
Argentina,2004,female,5-14 years,25,3416244,0.73,0.775,1.64658E+11,4683,Millenials
Argentina,2005,male,75+ years,225,601176,37.43,0.777,1.98737E+11,5590,Silent
Argentina,2005,male,55-74 years,489,2505136,19.52,0.777,1.98737E+11,5590,Silent
Argentina,2005,male,15-24 years,638,3343414,19.08,0.777,1.98737E+11,5590,Millenials
Argentina,2005,male,25-34 years,451,3004991,15.01,0.777,1.98737E+11,5590,Generation X
Argentina,2005,male,35-54 years,539,4336453,12.43,0.777,1.98737E+11,5590,Boomers
Argentina,2005,female,55-74 years,161,2943135,5.47,0.777,1.98737E+11,5590,Silent
Argentina,2005,female,75+ years,59,1101024,5.36,0.777,1.98737E+11,5590,Silent
Argentina,2005,female,15-24 years,148,3260468,4.54,0.777,1.98737E+11,5590,Millenials
Argentina,2005,female,35-54 years,171,4500787,3.8,0.777,1.98737E+11,5590,Boomers
Argentina,2005,female,25-34 years,104,3011376,3.45,0.777,1.98737E+11,5590,Generation X
Argentina,2005,male,5-14 years,52,3528848,1.47,0.777,1.98737E+11,5590,Millenials
Argentina,2005,female,5-14 years,21,3413809,0.62,0.777,1.98737E+11,5590,Millenials
Argentina,2006,male,75+ years,246,620010,39.68,0.801,2.32557E+11,6475,Silent
Argentina,2006,male,15-24 years,656,3357424,19.54,0.801,2.32557E+11,6475,Millenials
Argentina,2006,male,55-74 years,487,2540712,19.17,0.801,2.32557E+11,6475,Silent
Argentina,2006,male,25-34 years,483,3068991,15.74,0.801,2.32557E+11,6475,Generation X
Argentina,2006,male,35-54 years,585,4383730,13.34,0.801,2.32557E+11,6475,Boomers
Argentina,2006,female,15-24 years,175,3271703,5.35,0.801,2.32557E+11,6475,Millenials
Argentina,2006,female,55-74 years,115,2983954,3.85,0.801,2.32557E+11,6475,Silent
Argentina,2006,female,35-54 years,160,4549471,3.52,0.801,2.32557E+11,6475,Boomers
Argentina,2006,female,25-34 years,105,3070419,3.42,0.801,2.32557E+11,6475,Generation X
Argentina,2006,female,75+ years,31,1132977,2.74,0.801,2.32557E+11,6475,Silent
Argentina,2006,male,5-14 years,39,3527369,1.11,0.801,2.32557E+11,6475,Millenials
Argentina,2006,female,5-14 years,26,3412126,0.76,0.801,2.32557E+11,6475,Millenials
Argentina,2007,male,75+ years,225,634995,35.43,0.806,2.87531E+11,7918,Silent
Argentina,2007,male,15-24 years,577,3381171,17.07,0.806,2.87531E+11,7918,Millenials
Argentina,2007,male,55-74 years,438,2582754,16.96,0.806,2.87531E+11,7918,Silent
Argentina,2007,male,25-34 years,490,3125322,15.68,0.806,2.87531E+11,7918,Generation X
Argentina,2007,male,35-54 years,571,4436541,12.87,0.806,2.87531E+11,7918,Boomers
Argentina,2007,female,15-24 years,146,3292790,4.43,0.806,2.87531E+11,7918,Millenials
Argentina,2007,female,25-34 years,126,3120162,4.04,0.806,2.87531E+11,7918,Generation X
Argentina,2007,female,55-74 years,108,3033008,3.56,0.806,2.87531E+11,7918,Silent
Argentina,2007,female,35-54 years,155,4601874,3.37,0.806,2.87531E+11,7918,Boomers
Argentina,2007,female,75+ years,31,1161794,2.67,0.806,2.87531E+11,7918,Silent
Argentina,2007,male,5-14 years,45,3530454,1.27,0.806,2.87531E+11,7918,Generation Z
Argentina,2007,female,5-14 years,34,3414627,1,0.806,2.87531E+11,7918,Generation Z
Argentina,2008,male,75+ years,208,646185,32.19,0.81,3.61558E+11,9843,Silent
Argentina,2008,male,15-24 years,625,3410092,18.33,0.81,3.61558E+11,9843,Millenials
Argentina,2008,male,55-74 years,463,2630686,17.6,0.81,3.61558E+11,9843,Silent
Argentina,2008,male,25-34 years,531,3172743,16.74,0.81,3.61558E+11,9843,Generation X
Argentina,2008,male,35-54 years,582,4496672,12.94,0.81,3.61558E+11,9843,Boomers
Argentina,2008,female,15-24 years,180,3319037,5.42,0.81,3.61558E+11,9843,Millenials
Argentina,2008,female,35-54 years,173,4660022,3.71,0.81,3.61558E+11,9843,Boomers
Argentina,2008,female,55-74 years,108,3088727,3.5,0.81,3.61558E+11,9843,Silent
Argentina,2008,female,75+ years,36,1188016,3.03,0.81,3.61558E+11,9843,Silent
Argentina,2008,female,25-34 years,94,3159967,2.97,0.81,3.61558E+11,9843,Generation X
Argentina,2008,male,5-14 years,39,3539110,1.1,0.81,3.61558E+11,9843,Generation Z
Argentina,2008,female,5-14 years,20,3422263,0.58,0.81,3.61558E+11,9843,Generation Z
Argentina,2009,male,75+ years,177,653486,27.09,0.81,3.32976E+11,8961,Silent
Argentina,2009,male,15-24 years,609,3436265,17.72,0.81,3.32976E+11,8961,Millenials
Argentina,2009,male,55-74 years,434,2683502,16.17,0.81,3.32976E+11,8961,Silent
Argentina,2009,male,25-34 years,504,3210244,15.7,0.81,3.32976E+11,8961,Generation X
Argentina,2009,male,35-54 years,542,4566645,11.87,0.81,3.32976E+11,8961,Boomers
Argentina,2009,female,15-24 years,164,3342385,4.91,0.81,3.32976E+11,8961,Millenials
Argentina,2009,female,55-74 years,112,3148915,3.56,0.81,3.32976E+11,8961,Silent
Argentina,2009,female,25-34 years,105,3189773,3.29,0.81,3.32976E+11,8961,Generation X
Argentina,2009,female,35-54 years,150,4726814,3.17,0.81,3.32976E+11,8961,Boomers
Argentina,2009,female,75+ years,25,1211934,2.06,0.81,3.32976E+11,8961,Silent
Argentina,2009,male,5-14 years,34,3553154,0.96,0.81,3.32976E+11,8961,Generation Z
Argentina,2009,female,5-14 years,28,3434884,0.82,0.81,3.32976E+11,8961,Generation Z
Argentina,2010,male,75+ years,206,657096,31.35,0.818,4.23627E+11,11273,Silent
Argentina,2010,male,15-24 years,683,3455127,19.77,0.818,4.23627E+11,11273,Millenials
Argentina,2010,male,25-34 years,485,3237957,14.98,0.818,4.23627E+11,11273,Generation X
Argentina,2010,male,55-74 years,397,2740656,14.49,0.818,4.23627E+11,11273,Silent
Argentina,2010,male,35-54 years,573,4648068,12.33,0.818,4.23627E+11,11273,Generation X
Argentina,2010,female,15-24 years,150,3358103,4.47,0.818,4.23627E+11,11273,Millenials
Argentina,2010,female,35-54 years,162,4804030,3.37,0.818,4.23627E+11,11273,Generation X
Argentina,2010,female,25-34 years,101,3210247,3.15,0.818,4.23627E+11,11273,Generation X
Argentina,2010,female,55-74 years,99,3212253,3.08,0.818,4.23627E+11,11273,Silent
Argentina,2010,female,75+ years,34,1234182,2.75,0.818,4.23627E+11,11273,Silent
Argentina,2010,male,5-14 years,33,3570316,0.92,0.818,4.23627E+11,11273,Generation Z
Argentina,2010,female,5-14 years,20,3450419,0.58,0.818,4.23627E+11,11273,Generation Z
Argentina,2011,male,75+ years,178,674738,26.38,0.823,5.30163E+11,13946,Silent
Argentina,2011,male,15-24 years,693,3471151,19.96,0.823,5.30163E+11,13946,Millenials
Argentina,2011,male,25-34 years,510,3258804,15.65,0.823,5.30163E+11,13946,Millenials
Argentina,2011,male,55-74 years,416,2788575,14.92,0.823,5.30163E+11,13946,Boomers
Argentina,2011,male,35-54 years,504,4738525,10.64,0.823,5.30163E+11,13946,Generation X
Argentina,2011,female,15-24 years,172,3372659,5.1,0.823,5.30163E+11,13946,Millenials
Argentina,2011,female,35-54 years,157,4893085,3.21,0.823,5.30163E+11,13946,Generation X
Argentina,2011,female,25-34 years,102,3224774,3.16,0.823,5.30163E+11,13946,Millenials
Argentina,2011,female,55-74 years,93,3268753,2.85,0.823,5.30163E+11,13946,Boomers
Argentina,2011,female,75+ years,30,1260121,2.38,0.823,5.30163E+11,13946,Silent
Argentina,2011,female,5-14 years,29,3472180,0.84,0.823,5.30163E+11,13946,Generation Z
Argentina,2011,male,5-14 years,28,3592374,0.78,0.823,5.30163E+11,13946,Generation Z
Argentina,2012,male,75+ years,225,688560,32.68,0.823,5.45982E+11,14203,Silent
Argentina,2012,male,15-24 years,745,3480902,21.4,0.823,5.45982E+11,14203,Millenials
Argentina,2012,male,25-34 years,616,3268154,18.85,0.823,5.45982E+11,14203,Millenials
Argentina,2012,male,55-74 years,451,2839783,15.88,0.823,5.45982E+11,14203,Boomers
Argentina,2012,male,35-54 years,554,4841057,11.44,0.823,5.45982E+11,14203,Generation X
Argentina,2012,female,15-24 years,204,3380770,6.03,0.823,5.45982E+11,14203,Millenials
Argentina,2012,female,35-54 years,164,4993138,3.28,0.823,5.45982E+11,14203,Generation X
Argentina,2012,female,55-74 years,108,3328463,3.24,0.823,5.45982E+11,14203,Boomers
Argentina,2012,female,25-34 years,102,3228400,3.16,0.823,5.45982E+11,14203,Millenials
Argentina,2012,female,75+ years,33,1282726,2.57,0.823,5.45982E+11,14203,Silent
Argentina,2012,male,5-14 years,29,3615254,0.8,0.823,5.45982E+11,14203,Generation Z
Argentina,2012,female,5-14 years,17,3494571,0.49,0.823,5.45982E+11,14203,Generation Z
Argentina,2013,male,75+ years,168,699046,24.03,0.824,5.52025E+11,14206,Silent
Argentina,2013,male,15-24 years,696,3486661,19.96,0.824,5.52025E+11,14206,Millenials
Argentina,2013,male,25-34 years,499,3271373,15.25,0.824,5.52025E+11,14206,Millenials
Argentina,2013,male,55-74 years,398,2894129,13.75,0.824,5.52025E+11,14206,Boomers
Argentina,2013,male,35-54 years,604,4950850,12.2,0.824,5.52025E+11,14206,Generation X
Argentina,2013,female,15-24 years,167,3384642,4.93,0.824,5.52025E+11,14206,Millenials
Argentina,2013,female,25-34 years,102,3226464,3.16,0.824,5.52025E+11,14206,Millenials
Argentina,2013,female,35-54 years,157,5099167,3.08,0.824,5.52025E+11,14206,Generation X
Argentina,2013,female,55-74 years,102,3390673,3.01,0.824,5.52025E+11,14206,Boomers
Argentina,2013,female,75+ years,29,1303352,2.23,0.824,5.52025E+11,14206,Silent
Argentina,2013,female,5-14 years,32,3515742,0.91,0.824,5.52025E+11,14206,Generation Z
Argentina,2013,male,5-14 years,33,3637026,0.91,0.824,5.52025E+11,14206,Generation Z
Austria,1990,male,75+ years,186,165206,112.59,0.795,1.66463E+11,23020,G.I. Generation
Austria,1990,male,55-74 years,320,598225,53.49,0.795,1.66463E+11,23020,G.I. Generation
Austria,1990,male,35-54 years,418,985787,42.4,0.795,1.66463E+11,23020,Silent
Austria,1990,female,75+ years,132,365227,36.14,0.795,1.66463E+11,23020,G.I. Generation
Austria,1990,male,25-34 years,209,646830,32.31,0.795,1.66463E+11,23020,Boomers
Austria,1990,male,15-24 years,150,589106,25.46,0.795,1.66463E+11,23020,Generation X
Austria,1990,female,55-74 years,173,802079,21.57,0.795,1.66463E+11,23020,G.I. Generation
Austria,1990,female,35-54 years,150,984274,15.24,0.795,1.66463E+11,23020,Silent
Austria,1990,female,25-34 years,53,626994,8.45,0.795,1.66463E+11,23020,Boomers
Austria,1990,female,15-24 years,31,568627,5.45,0.795,1.66463E+11,23020,Generation X
Austria,1990,female,5-14 years,2,437872,0.46,0.795,1.66463E+11,23020,Generation X
Austria,1990,male,5-14 years,1,461126,0.22,0.795,1.66463E+11,23020,Generation X
Austria,1991,male,75+ years,209,160210,130.45,0.799,1.73794E+11,23808,G.I. Generation
Austria,1991,male,55-74 years,336,605807,55.46,0.799,1.73794E+11,23808,Silent
Austria,1991,male,35-54 years,402,1008702,39.85,0.799,1.73794E+11,23808,Boomers
Austria,1991,male,25-34 years,197,670763,29.37,0.799,1.73794E+11,23808,Boomers
